Days Before ,Days After ,Average Return as %
         10 ,         5 ,0.0531
          9 ,         5 ,0.0473
          8 ,         5 ,0.0411
          7 ,         5 ,0.0358
         10 ,         6 ,0.0332
         10 ,         7 ,0.0302
          6 ,         5 ,0.0286
          9 ,         6 ,0.0269
         10 ,         9 ,0.0259
          9 ,         7 ,0.0243
         10 ,         8 ,0.021
          9 ,         9 ,0.0195
          8 ,         6 ,0.0186
          8 ,         7 ,0.0176
         10 ,        10 ,0.0155
          9 ,         8 ,0.015
          8 ,         9 ,0.0133
          7 ,         6 ,0.0122
          7 ,         7 ,0.0105
          5 ,         5 ,0.0098
          9 ,        10 ,0.0087
          8 ,         8 ,0.0079
          7 ,         9 ,0.0077
          6 ,         6 ,0.004
          4 ,         5 ,0.0037
          6 ,         7 ,0.0027
          7 ,         8 ,0.0025
         10 ,        11 ,0.0024
          8 ,        10 ,0.0017
          6 ,         9 ,0.0004
         10 ,        12 ,-0.0021
          7 ,        10 ,-0.0043
          9 ,        11 ,-0.0045
          6 ,         8 ,-0.0061
         10 ,        13 ,-0.0068
         10 ,        14 ,-0.0076
          9 ,        12 ,-0.0093
         10 ,        15 ,-0.0122
          8 ,        11 ,-0.0122
          6 ,        10 ,-0.0124
          9 ,        13 ,-0.0135
          9 ,        14 ,-0.0139
          5 ,         7 ,-0.0145
          5 ,         6 ,-0.0154
          5 ,         9 ,-0.0159
          8 ,        12 ,-0.0165
          3 ,         5 ,-0.0174
          9 ,        15 ,-0.0186
          7 ,        11 ,-0.0188
          4 ,         9 ,-0.0206
          4 ,         7 ,-0.0207
          8 ,        14 ,-0.0208
          8 ,        13 ,-0.0209
          4 ,         6 ,-0.0216
          7 ,        12 ,-0.023
          5 ,         8 ,-0.0237
          8 ,        15 ,-0.0257
          7 ,        14 ,-0.0266
          7 ,        13 ,-0.0267
          6 ,        11 ,-0.0271
          5 ,        10 ,-0.0278
          2 ,         5 ,-0.0296
          4 ,         8 ,-0.0296
          7 ,        15 ,-0.0308
          6 ,        12 ,-0.0315
          4 ,        10 ,-0.0334
          6 ,        14 ,-0.0342
          6 ,        13 ,-0.0351
          3 ,         9 ,-0.0354
          6 ,        15 ,-0.0385
          3 ,         7 ,-0.0397
          5 ,        11 ,-0.0428
          2 ,         9 ,-0.0444
          3 ,         6 ,-0.0459
          5 ,        12 ,-0.0461
          5 ,        14 ,-0.0476
          1 ,         5 ,-0.0479
          3 ,         8 ,-0.0483
          4 ,        11 ,-0.0485
          3 ,        10 ,-0.049
          5 ,        13 ,-0.0492
          5 ,        15 ,-0.0509
          4 ,        12 ,-0.0523
          4 ,        14 ,-0.0527
          2 ,         7 ,-0.0545
          4 ,        13 ,-0.0545
          4 ,        15 ,-0.0561
          1 ,         9 ,-0.0561
          2 ,        10 ,-0.058
          2 ,         8 ,-0.0589
          2 ,         6 ,-0.0604
          3 ,        11 ,-0.0648
          3 ,        14 ,-0.066
          3 ,        12 ,-0.0665
          3 ,        13 ,-0.0691
          3 ,        15 ,-0.0692
          1 ,        10 ,-0.0713
          1 ,         7 ,-0.0714
          2 ,        14 ,-0.0728
          0 ,         5 ,-0.0742
          2 ,        11 ,-0.0745
          0 ,         9 ,-0.0752
          2 ,        15 ,-0.0758
          1 ,         8 ,-0.076
          2 ,        13 ,-0.0763
          2 ,        12 ,-0.0763
          1 ,         6 ,-0.0776
          1 ,        14 ,-0.0835
          1 ,        15 ,-0.0866
          1 ,        11 ,-0.0868
          0 ,        10 ,-0.087
          1 ,        12 ,-0.0889
          1 ,        13 ,-0.0895
          0 ,         7 ,-0.0964
          0 ,        14 ,-0.0971
          0 ,        15 ,-0.0979
          0 ,         8 ,-0.0993
          0 ,        11 ,-0.103
          0 ,        13 ,-0.1034
          0 ,        12 ,-0.1039
          0 ,         6 ,-0.1078
